informant,project,sex,age,ethnicity,education,occupation,latitude,longitude,attic
NY1,LAMSAS,Male,53,White,At least some high school,Farmer,41.13889,-72.30389,attic
NY1,LAMSAS,Male,53,White,At least some high school,Farmer,41.13889,-72.30389,garret
NY2A,LAMSAS,Male,63,White,No formal schooling,Farmer,40.965,-72.185,garret
NY2B,LAMSAS,Male,85,White,At least some high school,Farmer,40.92528,-72.27861,attic
NY2B,LAMSAS,Male,85,White,At least some high school,Farmer,40.92528,-72.27861,garret
NY2C,LAMSAS,Female,80,White,Between 1 and 8 years,Keeping house,40.93778,-72.30139,garret
NY2C,LAMSAS,Female,80,White,Between 1 and 8 years,Keeping house,40.93778,-72.30139,attic
NY3A,LAMSAS,Male,71,White,At least some high school,Farmer,40.77917,-72.91583,attic
NY3A,LAMSAS,Male,71,White,At least some high school,Farmer,40.77917,-72.91583,garret
NY3B,LAMSAS,Male,70,White,At least some high school,Farmer,40.86806,-73.42611,attic
NY3B,LAMSAS,Male,70,White,At least some high school,Farmer,40.86806,-73.42611,garret
NY3C,LAMSAS,Male,50,White,At least some high school,Farmer,40.86861,-73.00195,attic
NY3D,LAMSAS,Male,48,White,At least some high school,Farmer,40.9125,-73.30139,attic
NY3D,LAMSAS,Male,48,White,At least some high school,Farmer,40.9125,-73.30139,garret
NY4A,LAMSAS,Male,69,White,Between 1 and 8 years,Farmer,40.82833,-73.62861,garret
NY4A,LAMSAS,Male,69,White,Between 1 and 8 years,Farmer,40.82833,-73.62861,attic
NY4B,LAMSAS,Male,79,White,Between 1 and 8 years,Operative,40.6575,-73.58361,garret
NY4C,LAMSAS,Male,51,White,At least some high school,Farmer,40.7125,-73.55889,attic
NY5A,LAMSAS,Female,70,White,At least some high school,Keeping house,40.62111,-73.93528,NR
NY5B,LAMSAS,Male,32,White,At least some high school,Clerical or sales position,40.66666,-73.95,attic
NY5C,LAMSAS,Female,51,White,At least some high school,Keeping house,40.67667,-73.84417,attic
NY5D,LAMSAS,Male,64,White,Between 1 and 8 years,Public Servant,40.68333,-73.91666,attic
NY5E,LAMSAS,Female,82,White,Between 1 and 8 years,Keeping house,40.66667,-73.95944,attic
NY5F,LAMSAS,Male,53,White,Between 1 and 8 years,Clerical or sales position,40.66667,-73.9875,attic
