Informant,Project,Sex,Age,Ethnicity ,Education level,Occupation,Latitude,Longitude,frying pan,comments,,,
CT30,LANE,Male,44,White,No formal schooling,Farmer,41.2256,-73.3706,frying pan,spider what the older people used to call it,,,
CT32,LANE,Male,65,White,At least some high school,Craftsman or foreman,41.2939,-72.3825,spider,,,,
CT33,LANE,Male,79,White,Between 1 and 8 years,Farmer,41.3805,-72.5763,"spider, frying pan","of iron, used formerly, none in home (spider); with handle + lip (frying pan)",,,
CT34,LANE,Male,92,White,Between 1 and 8 years,Farmer,41.2939,-72.3825,"skillet, frying pan","same thing,' never heard mother call it spider' (both)",,,
CT39,LANE,Male,60,White,Between 1 and 8 years,"Manager, official, or proprietor",41.5622,-72.6508,"frying pan, skillet","certain, 'I use it on my boats' (skillet?)",,,
CT40,LANE,Male,60,White,At least some high school,Farmer,41.5622,-72.6508,"frying pan, spider",[!] 'quite often' (spider),,,
CT41,LANE,Male,68,White,Between 1 and 8 years,Farmer,41.5622,-72.6508,NR,,,,
CT43,LANE,Male,77,White,Between 1 and 8 years,Farmer,41.2256,-73.3706,"spiders, frying pan","some just call em spiders, + call em frying pan - both",,,
CT60,LANE,Male,71,White,Between 1 and 8 years,Farmer,41.4736,-73.2342,spider,"doesn't have to have legs on it, *sister o.f. iron",,,
CT62,LANE,Male,70,White,Between 1 and 8 years,Farmer,41.3378,-72.6294,"skillet, spider","[skillet picture], [spider picture]",,,
CT69,LANE,Male,75,White,Between 1 and 8 years,Farmer,41.4564,-72.8042,"spider, frying pan, bake kettle","will bake, used in fire place or on stove, 3 times as deep as spider (frying pan, bake kettle)",,,
CT92,LANE,Male,77,White,At least some college or beyond,Professional or technical job,41.7278,-72.8403,"spider, skillet, frying pan",much later (skillet); cf. 45.6 (frying pan),,,
CT103,LANE,Male,92,White,Between 1 and 8 years,Craftsman or foreman,41.9225,-73.0697,frying pan,a skillet is a deeper dish a good deal than a spider. All 3 items much used,,,
CT109,LANE,Male,78,White,At least some high school,Professional or technical job,42.005,-72.9481,spider,Miss Gaines can answer that I should call it spider but I don't know what she'd call it,*wife. We always call em spiders. I don't know what else you'd call it taint a stew pan,,
CT112,LANE,Male,47,White,Between 1 and 8 years,Farmer,41.7278,-72.8403,"frying pan, spider",,,,
CT113,LANE,Female,76,White,Between 1 and 8 years,Farmer,41.9225,-73.0697,spider,"""[!] We always say spider""; *sister we used to have a kettle with a bail and deeper. They had legs for the fireplaces. The legs disappeared",,,
CT126,LANE,Male,80,White,"honorary MA, no college edu",Professional or technical job,41.7627,-72.6743,spider,no other name',,,
CT133,LANE,Male,30,White,At least some high school,"Manager, official, or proprietor",41.7627,-72.6743,spider,"certain, 'I use it on my boats' (skillet?)",,,
CT139,LANE,Male,75,White,Between 1 and 8 years,Craftsman or foreman,41.31,-72.9236,"frying pan, spider",B's wife preferred this (frying pan); his term (spider),,,
CT142,LANE,Male,80,White,Between 1 and 8 years,Clerical or sales position,41.7627,-72.6743,"spider, skillet","cast iron, fire (spider); sug., small, cast iron, 'some had legs' [picture] or [picture] (skillet)",,,
CT160,LANE,Female,45,White,At least some high school,Teacher,41.31,-72.9236,"frying pan, spider, skillet","sug., old, of iron (spider); old, of iron, round bottom, 3 legs (skillet)",,,
CT183,LANE,Male,81,Black or African American,Between 1 and 8 years,Farmer,41.8667,-73.45,spider,"diff. sp. skillet? Good deal of difference. Spider to set on the stove, skillet in fireplace, put coals on.",,,
CT184,LANE,Male,89,White,At least some college or beyond,Farmer,41.8667,-73.45,spider,some call it a frying pan but very seldom hear that word,,,
CT187,LANE,Male,72,White,Between 1 and 8 years,Farmer,41.6939,-73.2106,spider,we call those a spider or a frying pan. Either one. Skillet is deeper and may have a cover,,,
CT188,LANE,Male,75,White,At least some college or beyond,Professional or technical job,41.7472,-73.1897,"frying pan, spider",,,,
CT189,LANE,Male,68,White,Between 1 and 8 years,Private household worker or gardener,41.8453,-73.3314,"frying pan, spider","*Mrs. R ""this is what should call a skillet"" [picture]",,,
CT190,LANE,Male,69,White,At least some college or beyond,Farmer,41.8453,-73.3314,spider,"sometimes frying pan, word skillet not used much",,,
CT191,LANE,Male,80,White,Between 1 and 8 years,Farmer,41.6939,-73.2106,spider,"(I haven't always marked the unasp. P, t, k after s. in the prer. They are prac. unaspirated).",,,
CT192,LANE,Male,55,White,Between 1 and 8 years,Laborer,41.7,-72,spider,,,,
CT193,LANE,Female,78,White,Between 1 and 8 years,Keeping house,41.7,-72,spider,,,,
CT195,LANE,Female,45-50,White,Between 1 and 8 years,Clerical or sales position,41.365,-71.9067,"skillet, frying pan",,,,
CT196,LANE,Female,30,White,At least some college or beyond,Keeping house,41.2828,-72.6819,"frying pan, spider, skillet","not used, like a little stew-pan (skillet)",,,
CT197,LANE,Female,27,White,At least some high school,Professional or technical job,41.1233,-73.3469,frying pan,has heard spider,,,
CT198,LANE,Male,85,White,Between 1 and 8 years,Farmer,41.0967,-73.5522,frying pan,"sup. skillet? ""I know what she mean :: kind of namel wear. Some has covers and some don't",,,
CT199,LANE,Male,76,White,Between 1 and 8 years,Farmer,41.0967,-73.5522,"frying pan, skillet, spider","is used (skillet); Ms. Adams: ""spider was the only word I knew until I got away from home"" = Greers Karms",,,
CT205,LANE,Male,79,White,Between 1 and 8 years,Fisher ,41.0228,-73.5647,frying pan,"they used to be called a spider, you know, used to have cast iron --- shorter handle ",,,
CT206,LANE,Female,76,White,At least some high school,Keeping house,41.365,-71.9067,"spider, frying pan",never called it (frying pan),,,
CT209,LANE,Male,61,White,At least some high school,Farmer,41.365,-71.9067,"skillet, spider",I call it' (skillet); 'good many call it' (spider),,,
CT210,LANE,Male,81,White,Between 1 and 8 years,Farmer,41.8706,-72.8253,spider,spider is larger around than a skillet. Skillet is deeper. Our skillet had legs on it,,,
CT215,LANE,Female,93,White,Unknown,,41.4022,-73.4711,NR,,,,
CT216,LANE,Male,89,White,Between 1 and 8 years,Farmer,41.9622,-72.8394,spider,spider + skillet? Skillets a deep thing rounding and the bottom three legs on it can set right on the coals. I ain't seen one of them ol skillets in years,,,
CT217,LANE,Male,74,White,At least some high school,Public servant,41.5833,-73.4,spider,"I would call it; sug., a skillet is a larget and lighter afar. We never used skillet much",,,
CT218,LANE,Male,59,White,At least some college or beyond,Farmer,41.4736,-73.2342,frying pan,maybe you'd better put spider down for me. That's what we used when I was a kid. Don't hear it much ,,,
CT233,LANE,Male,90,White,Between 1 and 8 years,Farmer,41.6197,-72.1425,"spider, gridirons",bake griddles on (gridins),,,
