Informant,mantel,Project,Sex,Age,Ethnicity ,Education level,Occupation,Latitude,Longitude
NY1,mantel,LAMSAS,Male,53,White,At least some high school,Farmer,41.13889,-72.30389
NY1,mantelpiece,LAMSAS,Male,53,White,At least some high school,Farmer,41.13889,-72.30389
NY2A,mantelpiece,LAMSAS,Male,63,White,No formal schooling,Farmer,40.965,-72.185
NY2B,mantel,LAMSAS,Male,85,White,At least some high school,Farmer,40.92528,-72.27861
NY2B,mantelpiece,LAMSAS,Male,85,White,At least some high school,Farmer,40.92528,-72.27861
NY2C,mantel,LAMSAS,Female,80,White,Between 1 and 8 years,Keeping house,40.93778,-72.30139
NY2C,mantelpiece,LAMSAS,Female,80,White,Between 1 and 8 years,Keeping house,40.93778,-72.30139
NY3A,mantel,LAMSAS,Male,71,White,At least some high school,Farmer,40.77917,-72.91583
NY3B,mantelpiece,LAMSAS,Male,70,White,At least some high school,Farmer,40.86806,-73.42611
NY3C,mantel,LAMSAS,Male,50,White,At least some high school,Farmer,40.86861,-73.00195
NY3D,mantelpiece,LAMSAS,Male,48,White,At least some high school,Farmer,40.9125,-73.30139
NY4A,mantelpiece,LAMSAS,Male,69,White,Between 1 and 8 years,Farmer,40.82833,-73.62861
NY4B,mantel,LAMSAS,Male,79,White,Between 1 and 8 years,Operative,40.6575,-73.58361
NY4B,shelf,LAMSAS,Male,79,White,Between 1 and 8 years,Operative,40.6575,-73.58361
NY4C,mantelpiece,LAMSAS,Male,51,White,At least some high school,Farmer,40.7125,-73.55889
NY5A,mantelpiece,LAMSAS,Female,70,White,At least some high school,Keeping house,40.62111,-73.93528
NY5A,lambrequin,LAMSAS,Female,70,White,At least some high school,Keeping house,40.62111,-73.93528
NY5B,mantelpiece,LAMSAS,Male,32,White,At least some high school,Clerical or sales position,40.66666,-73.95
NY5C,mantel,LAMSAS,Female,51,White,At least some high school,Keeping house,40.67667,-73.84417
NY5D,mantelpiece,LAMSAS,Male,64,White,Between 1 and 8 years,Public Servant,40.68333,-73.91666
NY5E,mantelpiece,LAMSAS,Female,82,White,Between 1 and 8 years,Keeping house,40.66667,-73.95944
NY5F,mantelpiece,LAMSAS,Male,53,White,Between 1 and 8 years,Clerical or sales position,40.66667,-73.9875
NY5G,mantel,LAMSAS,Male,50,White,At least some high school,"Manager, official, or proprietor",40.625,-74
NY5H!,mantel,LAMSAS,Male,68,White,At least some college or beyond,Professional or technical job,40.69528,-73.99416
NY5I!,mantelpiece,LAMSAS,Male,54,White,At least some college or beyond,Professional or technical job,40.76528,-73.81778
NY6A,mantelpiece,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,40.53722,-74.195
NY6B,mantel,LAMSAS,Female,48,White,At least some high school,Keeping house,40.51056,-74.24306
NY7A,mantelpiece,LAMSAS,Male,45,White,Between 1 and 8 years,Laborer,40.71417,-74.00639
NY7B,mantelpiece,LAMSAS,Male,39,White,Between 1 and 8 years,Operative,40.8125,-73.95
NY7C,mantelpiece,LAMSAS,Female,43,White,Between 1 and 8 years,Keeping house,40.80139,-73.96389
NY7D,mantel,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,40.83333,-73.94722
NY7E,mantelpiece,LAMSAS,Male,63,White,At least some high school,Clerical or sales position,40.67,-73.99805
NY7F,mantel,LAMSAS,Female,67,White,At least some high school,Clerical or sales position,40.79722,-73.96778
NY7G,mantelpiece,LAMSAS,Female,55,White,At least some high school,Keeping house,40.79167,-73.93333
NY7H,mantel,LAMSAS,Male,38,White,At least some high school,Clerical or sales position,40.75,-74
NY7I,mantel,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,40.75417,-73.97639
NY7J!,mantel,LAMSAS,Female,59,White,At least some high school,Other (see notes),40.76167,-73.96806
NY7K!,mantel,LAMSAS,Male,60,White,At least some college or beyond,Professional or technical job,40.77472,-73.95695
NY7L!,mantelpiece,LAMSAS,Female,76,White,At least some high school,Professional or technical job,40.76111,-73.96778
NY7M!,mantelpiece,LAMSAS,Female,62,White,At least some high school,Keeping house,40.76389,-73.97833
NY8,mantel,LAMSAS,Female,83,White,Between 1 and 8 years,Other (see notes),40.83972,-73.87805
NY8,shelf,LAMSAS,Female,83,White,Between 1 and 8 years,Other (see notes),40.83972,-73.87805
NY9A,mantel,LAMSAS,Female,75,White,Between 1 and 8 years,Other (see notes),41.07611,-73.85917
NY9B,mantel,LAMSAS,Male,77,White,At least some high school,Farmer,41.20417,-73.64417
NY9C,mantel,LAMSAS,Female,55,White,At least some high school,Keeping house,41.26305,-73.61389
NY10A,mantel,LAMSAS,Male,59,White,Unknown,Farmer,41.30194,-74.56194
NY10B!,mantel,LAMSAS,Female,63,White,At least some high school,Keeping house,41.40194,-74.32472
NY11,mantel,LAMSAS,Female,42,White,At least some college or beyond,Keeping house,41.33583,-73.87444
NY12A,mantel,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611
NY12A,shelf,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611
NY12A,shelf,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611
NY12A,mantelshelf,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),41.51917,-73.69611
NY12B,mantel,LAMSAS,Female,55,White,At least some college or beyond,Keeping house,41.70028,-73.66695
NY12C!,mantel,LAMSAS,Female,65,White,At least some high school,"Manager, official, or proprietor",41.70028,-73.92139
NY13A,mantel,LAMSAS,Male,81,White,At least some high school,Farmer,42.03861,-73.98695
NY13B!,mantelpiece,LAMSAS,Female,68,White,At least some high school,Other (see notes),41.92445,-74.06167
NY14A,mantel,LAMSAS,Male,78,White,At least some high school,Farmer,41.84778,-74.54833
NY14B,mantel,LAMSAS,Male,46,White,At least some high school,Farmer,41.65556,-74.68972
NY15A,mantelpiece,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,42.2625,-74.30139
NY15B,mantel,LAMSAS,Male,49,White,At least some high school,Farmer,42.27028,-74.30334
NY16A,mantelpiece,LAMSAS,Male,66,White,At least some high school,Farmer,42.085,-73.8275
NY16B,mantel,LAMSAS,Male,61,White,At least some high school,Farmer,42.25278,-73.79139
NY17A,mantel,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,42.74944,-73.34055
NY17A,mantelpiece,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,42.74944,-73.34055
NY17B,mantel,LAMSAS,Male,45,White,At least some high school,Farmer,42.5125,-73.70611
NY18A,manteltree shelf,LAMSAS,Male,82,White,At least some high school,Farmer,42.61639,-74.075
NY18B,mantel,LAMSAS,Male,49,White,Between 1 and 8 years,Operative,42.70055,-74.03416
NY18B,shelf,LAMSAS,Male,49,White,Between 1 and 8 years,Operative,42.70055,-74.03416
NY18C!,mantel,LAMSAS,Male,84,White,At least some high school,"Manager, official, or proprietor",42.6525,-73.75667
NY19,mantel,LAMSAS,Male,52,White,At least some high school,Farmer,42.76194,-74.13416
NY20A,mantelpiece,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,42.53056,-74.25861
NY20B,mantel,LAMSAS,Male,35,White,At least some college or beyond,Farmer,42.79583,-74.6175
NY21,shelf,LAMSAS,Male,73,White,At least some high school,Farmer,42.85917,-74.74611
NY21,clock shelf,LAMSAS,Male,73,White,At least some high school,Farmer,42.85917,-74.74611
NY22,mantel,LAMSAS,Male,51,White,At least some high school,Farmer,43.05278,-74.34417
NY23A,shelf,LAMSAS,Male,84,White,Between 1 and 8 years,"Manager, official, or proprietor",43.24445,-73.83278
NY23A,clock shelf,LAMSAS,Male,84,White,Between 1 and 8 years,"Manager, official, or proprietor",43.24445,-73.83278
NY23B,mantelpiece,LAMSAS,Male,74,White,At least some high school,Farmer,43.13334,-73.60611
NY23B,clock,LAMSAS,Male,74,White,At least some high school,Farmer,43.13334,-73.60611
NY23C,mantel,LAMSAS,Male,75,White,At least some high school,"Manager, official, or proprietor",43.1,-73.58222
NY23C,shelves,LAMSAS,Male,75,White,At least some high school,"Manager, official, or proprietor",43.1,-73.58222
NY24A,mantelpiece,LAMSAS,Male,74,White,At least some high school,Farmer,43.36361,-73.39417
NY24A,mantel,LAMSAS,Male,74,White,At least some high school,Farmer,43.36361,-73.39417
NY24A,mantelshelf,LAMSAS,Male,74,White,At least some high school,Farmer,43.36361,-73.39417
NY24B!,shelf,LAMSAS,Female,61,White,At least some high school,Other (see notes),43.26694,-73.585
NY25A,shelf,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167
NY25A,clock shelf,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,43.61833,-73.96167
NY25B,mantel,LAMSAS,Male,68,White,Between 1 and 8 years,Student,43.49667,-73.77666
NY25B,shelf,LAMSAS,Male,68,White,Between 1 and 8 years,Student,43.49667,-73.77666
NY26A,shelf,LAMSAS,Male,82,White,No formal schooling,Craftsman or foreman,43.47083,-74.41306
NY26B,mantel,LAMSAS,Female,77,White,Between 1 and 8 years,Keeping house,43.49722,-74.36222
NY26B,mantelshelf,LAMSAS,Female,77,White,Between 1 and 8 years,Keeping house,43.49722,-74.36222
NY26C,mantel,LAMSAS,Male,54,White,At least some high school,"Manager, official, or proprietor",43.48889,-74.35555
NY27A,shelf,LAMSAS,Male,74,White,Between 1 and 8 years,Laborer,43.84861,-73.42389
NY27B,shelf,LAMSAS,Female,82,White,At least some high school,"Manager, official, or proprietor",43.85556,-73.44028
NY27C,mantel,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,43.83333,-73.42223
NY28A,shelf,LAMSAS,Female,54,White,Between 1 and 8 years,Keeping house,44.69944,-73.45333
NY28B,wooden mantel,LAMSAS,Female,87,White,At least some college or beyond,Keeping house,44.88972,-73.43639
NY28C,shelf,LAMSAS,Female,85,White,Unknown,Keeping house,44.98639,-73.44695
NY29A,shelf,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,44.85778,-74.03389
NY29A,clock shelf,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,44.85778,-74.03389
NY29B,mantel,LAMSAS,Male,67,White,Between 1 and 8 years,Operative,44.84861,-74.29528
NY29B,shelf,LAMSAS,Male,67,White,Between 1 and 8 years,Operative,44.84861,-74.29528
NY29C,mantel,LAMSAS,Male,70,White,At least some high school,"Manager, official, or proprietor",44.84167,-74.29166
NY29C,clock shelf,LAMSAS,Male,70,White,At least some high school,"Manager, official, or proprietor",44.84167,-74.29166
NY29C,almanac,LAMSAS,Male,70,White,At least some high school,"Manager, official, or proprietor",44.84167,-74.29166
NY30A,mantel,LAMSAS,Male,82,White,Between 1 and 8 years,Farmer,44.51056,-74.88805
NY30A,clock shelf,LAMSAS,Male,82,White,Between 1 and 8 years,Farmer,44.51056,-74.88805
NY30B,mantelpiece,LAMSAS,Male,87,White,Between 1 and 8 years,Craftsman or foreman,44.70555,-74.71528
NY30C,mantel,LAMSAS,Male,85,White,Between 1 and 8 years,Farmer,44.69028,-74.70361
NY30C,shelf,LAMSAS,Male,85,White,Between 1 and 8 years,Farmer,44.69028,-74.70361
NY30D,shelf,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,44.7,-74.70834
NY30D,clock shelf,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,44.7,-74.70834
NY30E,mantel,LAMSAS,Female,75,White,At least some high school,Keeping house,44.69083,-74.68195
NY30E,shelf,LAMSAS,Female,75,White,At least some high school,Keeping house,44.69083,-74.68195
NY30E,clock shelf,LAMSAS,Female,75,White,At least some high school,Keeping house,44.69083,-74.68195
NY31A,mantel,LAMSAS,Male,94,White,At least some high school,"Manager, official, or proprietor",44.11444,-75.97417
NY31A,shelf,LAMSAS,Male,94,White,At least some high school,"Manager, official, or proprietor",44.11444,-75.97417
NY31B,mantel,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,44.21528,-75.7975
NY31B,clock shelf,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,44.21528,-75.7975
NY32A,mantel,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,43.56667,-75.42889
NY32A,clock shelf,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,43.56667,-75.42889
NY32B,mantel,LAMSAS,Male,71,White,Between 1 and 8 years,Farmer,43.83778,-75.44055
NY33A,mantel,LAMSAS,Male,52,White,Between 1 and 8 years,Public Servant,43.71,-74.97472
NY33A,shelf,LAMSAS,Male,52,White,Between 1 and 8 years,Public Servant,43.71,-74.97472
NY33B,mantel,LAMSAS,Male,50,White,At least some high school,Professional or technical job,43.70778,-74.97722
NY33C,mantel,LAMSAS,Male,57,White,At least some high school,"Manager, official, or proprietor",43.81833,-74.91556
NY34A,mantel,LAMSAS,Male,85,White,At least some college or beyond,Farmer,43.43528,-76.56416
NY34A,shelf,LAMSAS,Male,85,White,At least some college or beyond,Farmer,43.43528,-76.56416
NY34B,mantel,LAMSAS,Female,65,White,Between 1 and 8 years,Operative,43.45528,-76.51083
NY34C,mantel,LAMSAS,Male,81,White,At least some college or beyond,Professional or technical job,43.56694,-76.12805
NY34C,shelf,LAMSAS,Male,81,White,At least some college or beyond,Professional or technical job,43.56694,-76.12805
NY34D!,mantelpiece,LAMSAS,Male,81,White,At least some high school,"Manager, official, or proprietor",43.44361,-76.51945
NY35A,mantelpiece,LAMSAS,Male,78,White,Between 1 and 8 years,Farmer,43.03444,-76.44833
NY35B,mantel,LAMSAS,Female,45,White,At least some high school,Keeping house,42.97805,-75.93333
NY35C!,mantel,LAMSAS,Male,62,White,At least some high school,"Manager, official, or proprietor",43.04805,-76.14778
NY36A,mantelshelf,LAMSAS,Male,78,White,At least some high school,Farmer,42.93,-75.85306
NY36B,mantel,LAMSAS,Male,52,White,At least some high school,Farmer,42.96722,-75.68833
NY37A,mantel,LAMSAS,Female,80,White,At least some high school,Keeping house,43.30333,-75.51833
NY37B,mantelpiece,LAMSAS,Male,42,White,At least some high school,Private household worker or gardener,43.13667,-75.25945
NY37C!,mantel,LAMSAS,Female,52,White,At least some high school,Keeping house,43.10083,-75.23306
NY38A,mantel,LAMSAS,Male,81,White,At least some high school,Farmer,42.9325,-75.0375
NY38B,mantel,LAMSAS,Male,54,White,At least some high school,Farmer,43.015,-75.03584
NY38C,mantel,LAMSAS,Female,,White,Unknown,Unknown,42.96139,-74.90361
NY39A,mantelpiece,LAMSAS,Male,79,White,At least some high school,Farmer,42.59139,-74.75083
NY39B,mantel,LAMSAS,Male,43,White,At least some high school,Farmer,42.78028,-75.02834
NY40A,mantel,LAMSAS,Male,79,White,At least some high school,Farmer,42.26194,-74.785
NY40B,mantel,LAMSAS,Male,51,White,At least some high school,"Manager, official, or proprietor",42.16945,-75.12972
NY41,mantel,LAMSAS,Male,47,White,At least some high school,Farmer,42.61694,-75.60278
