Informant,Project,Sex,Age,Ethnicity ,Education level,Occupation,Latitude,Longitude,picket fence
CT30,LANE,Male,44,White,No formal schooling,Farmer,41.2256,-73.3706,"picket fence, slat fence"
CT032,LANE,Male,65,White,At least some high school,Craftsman or foreman,41.2939,-72.3825,picket fence
CT033,LANE,Male,79,White,Between 1 and 8 years,Farmer,41.3805,-72.5763,"picket fence, slat fence"
CT034,LANE,Male,92,White,Between 1 and 8 years,Farmer,41.2939,-72.3825,picket fence
CT039,LANE,Male,60,White,Between 1 and 8 years,"Manager, official, or proprietor",41.5622,-72.6508,"picket fence, tightboard fence"
CT040,LANE,Male,60,White,At least some high school,Farmer,41.5622,-72.6508,picket fence
CT041,LANE,Male,68,White,Between 1 and 8 years,Farmer,41.5622,-72.6508,"picket fence, slat fence"
CT043,LANE,Male,77,White,Between 1 and 8 years,Farmer,41.2256,-73.3706,picket fence
CT060,LANE,Male,71,White,Between 1 and 8 years,Farmer,41.4736,-73.2342,"post fence, picket fence"
CT62,LANE,Male,70,White,Between 1 and 8 years,Farmer,41.3378,-72.6294,"picket fence, slat fence"
CT69,LANE,Male,75,White,Between 1 and 8 years,Farmer,41.4564,-72.8042,"picket fence, slat fence"
CT92,LANE,Male,77,White,At least some college or beyond,Professional or technical job,41.7278,-72.8403,"post and rail fence, picket fence"
CT103,LANE,Male,92,White,Between 1 and 8 years,Craftsman or foreman,41.9225,-73.0697,picket fence
CT109,LANE,Male,78,White,At least some high school,Professional or technical job,42.005,-72.9481,picket fence
CT112,LANE,Male,47,White,Between 1 and 8 years,Farmer,41.7278,-72.8403,"post and rail fence, picket fence, slat fence"
CT113,LANE,Female,76,White,Between 1 and 8 years,Farmer,41.9225,-73.0697,"picket fence, slat fences"
CT126,LANE,Male,80,White,"honorary MA, no college edu",Professional or technical job,41.7627,-72.6743,"picket fence, board fence"
CT133,LANE,Male,30,White,At least some high school,"Manager, official, or proprietor",41.7627,-72.6743,picket fence
CT139,LANE,Male,75,White,Between 1 and 8 years,Craftsman or foreman,41.31,-72.9236,"picket fence, slat fence, board fence"
CT142,LANE,Male,80,White,Between 1 and 8 years,Clerical or sales position,41.7627,-72.6743,picket fence
CT160,LANE,Female,45,White,At least some high school,Teacher,41.31,-72.9236,"picket fence, picket"
CT183,LANE,Male,81,Black or African American,Between 1 and 8 years,Farmer,41.8667,-73.45,picket fence
CT184,LANE,Male,89,White,At least some college or beyond,Farmer,41.8667,-73.45,picket fence
CT187,LANE,Male,72,White,Between 1 and 8 years,Farmer,41.6939,-73.2106,picket fence
CT188,LANE,Male,75,White,At least some college or beyond,Professional or technical job,41.7472,-73.1897,picket fence
CT189,LANE,Male,68,White,Between 1 and 8 years,Private household worker or gardener,41.8453,-73.3314,picket fence
CT190,LANE,Male,69,White,At least some college or beyond,Farmer,41.8453,-73.3314,picket fence
CT191,LANE,Male,80,White,Between 1 and 8 years,Farmer,41.6939,-73.2106,"stake and rail fence, picket fence"
CT192,LANE,Male,55,White,Between 1 and 8 years,Laborer,41.7,-72,"picket fence, narrow slat fance"
CT193,LANE,Female,78,White,Between 1 and 8 years,Keeping house,41.7,-72,picket fence
CT195,LANE,Female,45-50,White,Between 1 and 8 years,Clerical or sales position,41.365,-71.9067,picket fence
CT196,LANE,Female,30,White,At least some college or beyond,Keeping house,41.2828,-72.6819,picket fence
CT197,LANE,Female,27,White,At least some high school,Professional or technical job,41.1233,-73.3469,picket fence
CT198,LANE,Male,85,White,Between 1 and 8 years,Farmer,41.0967,-73.5522,"picket fence, slat fence"
CT199,LANE,Male,76,White,Between 1 and 8 years,Farmer,41.0967,-73.5522,picket fence
CT205,LANE,Male,79,White,Between 1 and 8 years,Fisher ,41.0228,-73.5647,picket fence
CT206,LANE,Female,76,White,At least some high school,Keeping house,41.365,-71.9067,picket fence
CT209,LANE,Male,61,White,At least some high school,Farmer,41.365,-71.9067,picket fence
CT210,LANE,Male,81,White,Between 1 and 8 years,Farmer,41.8706,-72.8253,picket fence
CT215,LANE,Female,93,White,Unknown,,41.4022,-73.4711,missing
CT216,LANE,Male,89,White,Between 1 and 8 years,Farmer,41.9622,-72.8394,picket fence
CT217,LANE,Male,74,White,At least some high school,Public servant,41.5833,-73.4,a picket fence
CT218,LANE,Male,59,White,At least some college or beyond,Farmer,41.4736,-73.2342,picket fence
CT233,LANE,Male,90,White,Between 1 and 8 years,Farmer,41.6197,-72.1425,"picket fence, pickets"
CT234,LANE,Female,70-80,White,At least some high school,Single woman,41.5503,-72.0875,picket fence
CT254,LANE,Female,78,White,Between 1 and 8 years,Keeping house,41.3742,-73.395,picket fence
CT260,LANE,Male,70,White,Between 1 and 8 years,Farmer,41.3742,-73.395,picket fence
CT261,LANE,Male,57,White,At least some college or beyond,Farmer,41.2242,-73.0597,picket fence
CT262,LANE,Female,20,White,At least some college or beyond,Professional or technical job,41.1864,-73.1956,picket
CT266,LANE,Male,47,White,At least some college or beyond,Farmer,41.4022°N,-73.4711,picket fence
CT282,LANE,Male,73,White,At least some high school,Craftsman or foreman,41.6011,-72.975,"picket fence, board fence"
CT283,LANE,Male,68,White,At least some high school,Fisher ,41.2242,-73.0597,"picket fence, hedge fence"
CT286,LANE,Male,36,White,Between 1 and 8 years,Clerical or sales position,41.6011,-72.975,picket fence
CT287,LANE,Male,65,White,No formal schooling,Farmer,41.4833,-73.4833,picket fence
CT373,LANE,Female,60-65,White,At least some high school,Teacher,41.8667,-71.9833,picket fence
CT384,LANE,Male,79,White,Between 1 and 8 years,Farmer,41.8721,-72.3694,picket fence
CT385,LANE,Male,54,White,Between 1 and 8 years,Public servant,41.8721,-72.3694,picket fence
