informant,response,
TN001,attic ,
TN002,NR,
TN003,attic ,
TN003,loft ,
TN004,attic ,
TN005,garret loft ,
TN005,loft ,
TN006,attic ,
TN007,attic ,
TN008,attic ,
TN009,loft ,
TN010,attic ,
TN010,garret ,
TN011,attic ,
TN012,attic ,
TN013,attic ,
TN014,attic ,
TN015,attic ,
TN016,NR,
TN017,attic ,
TN018,loft ,
TN019,attic ,
TN019,loft ,
TN020,attic ,
TN020,loft ,
TN021,loft ,
TN022,attic ,
TN023,garret ,
TN023,loft ,
TN024,attic ,
TN025,garret ,
TN026,attic ,
TN027,attic ,
TN028,attic ,
TN029,attic ,
TN029,loft ,
TN030,attic ,
TN031,attic ,
TN031,loft ,
TN032,attic ,
TN033,attic ,
TN034,attic ,
TN035,attic ,
TN036,garret loft ,
TN036,loft ,
TN037,attic ,
TN037,loft ,
TN037,upstairs ,
TN038,NR,
TN039,attic ,
TN040,attic ,
TN040,loft ,
TN041,attic ,
TN042,garret loft ,
TN043,attic ,
TN044,attic ,
TN044,scuttling hole ,
TN045,attic ,
TN045,half story ,
TN045,loft ,
TN046,attic ,
TN047,attic ,
TN047,loft ,
TN048,garret ,
TN049,attic ,
TN050,attic ,
TN050,upstairs ,
TN051,attic ,
TN052,NR,
TN053,attic ,
TN054,attic ,
TN055,attic ,
TN056,attic ,
TN057,loft ,
TN058,attic ,
TN059,loft ,
TN060,attic ,
GA061,attic ,
GA061,loft ,
GA062,NR,
GA063,NR,
GA064,attic ,
GA064,upstairs ,
GA065,attic ,
GA066,upstairs ,
GA067,attic ,
GA068,NR,
GA069,loft ,
GA070,loft ,
GA071,attic ,
GA071,loft ,
GA071,upstairs ,
GA072,loft ,
GA073,attic ,
GA074,attic ,
GA074,loft ,
GA075,attic ,
GA076,NR,
GA077,NR,
GA078,attic ,
GA079,attic ,
GA080,NR,
GA081,attic ,
GA082,attic ,
GA083,attic space ,
GA083,loft ,
GA084,loft ,
GA085,loft ,
GA086,NR,
GA087,attic ,
GA088,attic ,
GA089,attic ,
GA090,attic ,
GA090,loft ,
GA091,attic ,
GA092,attic ,
GA093,attic ,
GA094,attic ,
GA095,attic ,
GA096,attic ,
GA096,storage attic ,
GA097,attic ,
GA098,attic ,
GA099,attic ,
GA099,doghouse ,
GA100,attic ,
GA101,attic ,
GA102,attic ,
GA103,attic ,
GA103,loft ,
GA104,attic ,
GA105,attic ,
GA106,attic ,
GA107,attic ,
GA108,attic ,
GA109,attic ,
GA110,attic ,
GA111,loft ,
GA112,attic ,
GA113,attic ,
GA114,NR,
GA115,NR,
GA116,attic ,
GA117,attic ,
GA118,NR,
GA119,loft ,
GA120,NR,
GA121,attic ,
GA121,loft ,
GA122,attic ,
GA122,loft ,
GA123,attic ,
GA124,attic ,
GA125,loft ,
GA126,attic ,
GA126,loft ,
GA127,NR,
GA128,NR,
GA129,NR,
GA130,NR,
GA131,attic ,
GA132,NR,
GA133,attic ,
GA134,loft ,
GA135,attic ,
GA135,upstairs ,
GA136,loft ,
GA137,attic ,
GA138,loft ,
GA139,attic ,
GA140,loft ,
GA140,room upstairs ,
GA141,attic ,
GA142,attic ,
GA143,NR,
GA144,attic ,
GA145,NR,
GA146,attic ,
GA147,NR,
GA148,attic ,
GA149,attic ,
GA150,attic ,
GA151,loft overhead ,
GA152,attic ,
GA153,NR,
GA154,loft ,
GA155,attic ,
GA156,NR,
GA157,NR,
GA158,loft ,
GA159,attic ,
GA160,NR,
GA161,attic ,
GA162,attic ,
GA162,cock loft ,
GA162,loft ,
GA163,attic ,
GA164,attic ,
GA165,attic ,
GA166,loft ,
GA166,upstairs ,
GA167,attic ,
GA167,shed room ,
GA168,NR,
GA169,attic ,
GA170,attic ,
GA170,garret ,
GA171,attic ,
GA172,attic ,
GA173,NR,
GA174,NR,
GA175,NR,
GA176,attic ,
GA177,attic ,
GA178,NR,
GA179,attic ,
GA180,attic ,
GA181,attic ,
GA182,NR,
GA183,attic ,
GA184,attic ,
GA184,loft ,
GA185,attic ,
GA185,loft ,
GA186,attic ,
GA187,NR,
GA188,loft ,
GA189,attic ,
GA190,attic ,
GA190,half story ,
GA191,attic ,
GA192,loft ,
GA193,NR,
GA194,NR,
GA195,attic ,
GA195,loft ,
GA196,NR,
GA197,NR,
GA198,NR,
GA199,upstairs ,
GA200,NR,
GA201,attic ,
GA202,attic ,
GA202,dormer room ,
GA203,attic ,
GA204,NR,
GA205,NR,
GA206,loft ,
GA207,attic ,
GA208,attic ,
GA208,loft ,
GA209,attic ,
GA210,attic ,
GA211,attic ,
GA211,upstairs ,
GA212,attic ,
GA213,loft ,
GA214,attic ,
GA215,attic ,
GA216,attic room ,
GA217,NR,
GA218,NR,
GA219,NR,
GA220,attic ,
GA221,attic ,
GA222,upstairs ,
GA223,attic ,
GA224,loft ,
GA225,NR,
FL226,attic ,
FL227,attic ,
FL228,attic ,
FL229,attic ,
FL230,attic ,
FL231,attic ,
FL232,attic ,
FL233,attic ,
FL233,attic room ,
FL234,loft ,
FL235,attic ,
FL236,attic ,
FL236,loft ,
FL237,attic ,
FL237,loft ,
FL238,attic ,
FL239,attic ,
FL239,loft ,
FL240,attic ,
FL240,loft ,
FL241,NR,
FL242,loft ,
FL243,attic ,
FL244,NR,
FL245,NR,
FL246,attic ,
