Informant,response mantel 8.4,Comments
NY1,mantel,
NY1,mantelpiece,
NY2A,mantelpiece,
NY2B,mantel,
NY2B,mantelpiece,
NY2C,mantel,
NY2C,mantelpiece,
NY3A,mantel,
NY3B,mantelpiece,
NY3C,mantel,
NY3D,mantelpiece,
NY4A,mantelpiece,
NY4B,mantel,occasionally
NY4B,shelf,
NY4C,mantelpiece,
NY5A,mantelpiece,
NY5A,lambrequin,draped over the mantel
NY5B,mantelpiece,
NY5C,mantel,
NY5D,mantelpiece,
NY5E,mantelpiece,
NY5F,mantelpiece,
NY5G,mantel,
NY5H!,mantel,
NY5I!,mantelpiece,
NY6A,mantelpiece,
NY6B,mantel,
NY7A,mantelpiece,
NY7B,mantelpiece,
NY7C,mantelpiece,
NY7D,mantel,
NY7E,mantelpiece,
NY7F,mantel,
NY7G,mantelpiece,
NY7H,mantel,
NY7I,mantel,
NY7J!,mantel,
NY7K!,mantel,
NY7L!,mantelpiece,
NY7M!,mantelpiece,
NY8,mantel,
NY8,shelf,
NY9A,mantel,
NY9B,mantel,
NY9C,mantel,
NY10A,mantel,
NY10B!,mantel,
NY11,mantel,
NY12A,mantel,
NY12A,shelf,
NY12A,shelf,
NY12A,mantelshelf,
NY12B,mantel,
NY12C!,mantel,
NY13A,mantel,
NY13B!,mantelpiece,
NY14A,mantel,
NY14B,mantel,
NY15A,mantelpiece,
NY15B,mantel,
NY16A,mantelpiece,
NY16B,mantel,
NY17A,mantel,
NY17A,mantelpiece,
NY17B,mantel,
NY18A,manteltree shelf,
NY18B,mantel,
NY18B,shelf,
NY18C!,mantel,
NY19,mantel,
NY20A,mantelpiece,
NY20B,mantel,
NY21,shelf,
NY21,clock shelf,
NY22,mantel,
NY23A,shelf,
NY23A,clock shelf,
NY23B,mantelpiece,
NY23B,clock,"wooden gear, iron weight"
NY23C,mantel,with each fireplace
NY23C,shelves,even if no fireplace
NY24A,mantelpiece,
NY24A,mantel,
NY24A,mantelshelf,
NY24B!,shelf,
NY25A,shelf,
NY25A,clock shelf,
NY25B,mantel,
NY25B,shelf,
NY26A,shelf,for a clock
NY26B,mantel,
NY26B,mantelshelf,
NY26C,mantel,
NY27A,shelf,
NY27B,shelf,
NY27C,mantel,
NY28A,shelf,
NY28B,wooden mantel,
NY28C,shelf,
NY29A,shelf,
NY29A,clock shelf,
NY29B,mantel,
NY29B,shelf,
NY29C,mantel,over fireplace
NY29C,clock shelf,
NY29C,almanac,
NY30A,mantel,
NY30A,clock shelf,
NY30B,mantelpiece,
NY30C,mantel,later than shelf
NY30C,shelf,in kitchen
NY30D,shelf,
NY30D,clock shelf,
NY30E,mantel,
NY30E,shelf,in kitchen
NY30E,clock shelf,in kitchen
NY31A,mantel,
NY31A,shelf,
NY31B,mantel,
NY31B,clock shelf,
NY32A,mantel,
NY32A,clock shelf,
NY32B,mantel,clock in recess in wall
NY33A,mantel,
NY33A,shelf,for kitchen clock
NY33B,mantel,
NY33C,mantel,
NY34A,mantel,
NY34A,shelf,in house
NY34B,mantel,
NY34C,mantel,
NY34C,shelf,
NY34D!,mantelpiece,
NY35A,mantelpiece,
NY35B,mantel,
